[-1.75, -1.375, -1.3792124542124542, -1.3771978021978022, -1.389010989010989, -1.394139194139194, -1.3793040293040293, -1.4238095238095239, -1.4065018315018314, -1.3883699633699633, -1.3958791208791208, -1.4173992673992675, -1.4312271062271062, -1.4253663003663004, -1.4130036630036629, -1.4063186813186812, -1.3934981684981684, -1.39010989010989, -1.431043956043956, -1.4224358974358975, -1.4556776556776556, -1.4515567765567765];[0.875, 1.25, 0.9134615384615384, 0.9185897435897435, 0.9046703296703297, 0.8978937728937729, 0.9358058608058608, 0.8781135531135531, 0.9217948717948719, 0.960989010989011, 0.9521978021978021, 0.9226190476190477, 0.9025641025641026, 0.9138278388278388, 0.9333333333333333, 0.9466117216117216, 0.968040293040293, 0.9862637362637363, 0.9297619047619048, 0.9524725274725274, 0.9019230769230769, 0.9102564102564102]
[-1.75, -1.375, -1.3835164835164835, -1.3827838827838828, -1.3804945054945055, -1.3985347985347985, -1.3792124542124542, -1.3771978021978022, -1.389010989010989, -1.394139194139194, -1.3753663003663004, -1.4152014652014653, -1.4007326007326006, -1.3793040293040293, -1.4105311355311354, -1.4069597069597068, -1.3814102564102564, -1.3847985347985348, -1.4151098901098902, -1.4142857142857144, -1.3894688644688644, -1.4284798534798535];[0.875, 1.25, 0.8931318681318682, 0.8986263736263737, 0.906959706959707, 0.8812271062271062, 0.9134615384615384, 0.9185897435897435, 0.9046703296703297, 0.8978937728937729, 0.9293956043956044, 0.8778388278388278, 0.9032967032967033, 0.9358058608058608, 0.8897435897435897, 0.8975274725274726, 0.9384615384615385, 0.9351648351648352, 0.8889194139194139, 0.8912087912087913, 0.9332417582417583, 0.8781135531135531]
[-1.75, -1.375, -1.3826007326007326, -1.3851648351648351, -1.391117216117216, -1.3835164835164835, -1.379029304029304, -1.3827838827838828, -1.3804945054945055, -1.3985347985347985, -1.3792124542124542, -1.4019230769230768, -1.394139194139194, -1.375, -1.375, -1.3908424908424908, -1.3767399267399267, -1.4128205128205127, -1.3815934065934066, -1.4146520146520147, -1.3878205128205128, -1.4037545787545787];[0.875, 1.25, 0.8755494505494505, 0.8799450549450549, 0.8773809523809524, 0.8931318681318682, 0.9021978021978022, 0.8986263736263737, 0.906959706959707, 0.8812271062271062, 0.9134615384615384, 0.8787545787545787, 0.8975274725274726, 0.927930402930403, 0.9295787545787546, 0.9141025641025641, 0.9358974358974359, 0.8838827838827839, 0.9358974358974359, 0.8914835164835165, 0.9332417582417583, 0.911996336996337]
[-1.75, -1.375, -1.375915750915751, -1.3797619047619047, -1.3826007326007326, -1.3833333333333333, -1.3851648351648351, -1.379945054945055, -1.3794871794871795, -1.391117216117216, -1.3835164835164835, -1.3836080586080586, -1.3835164835164835, -1.3783882783882784, -1.379029304029304, -1.3863553113553113, -1.3936813186813186, -1.3966117216117215, -1.393040293040293, -1.3773809523809524, -1.388095238095238, -1.3832417582417582];[0.875, 1.25, 0.8826923076923077, 0.8791208791208791, 0.8755494505494505, 0.8815018315018315, 0.8799450549450549, 0.8920329670329671, 0.8944139194139195, 0.8773809523809524, 0.8931318681318682, 0.893956043956044, 0.8945970695970696, 0.903021978021978, 0.9021978021978022, 0.8930402930402931, 0.8852564102564102, 0.8822344322344322, 0.8913003663003664, 0.9182234432234432, 0.9048534798534799, 0.9141941391941392]
[-1.75, -1.375, -1.375915750915751, -1.376098901098901, -1.376098901098901, -1.3795787545787546, -1.3797619047619047, -1.3826007326007326, -1.3803113553113553, -1.3773809523809524, -1.3804029304029304, -1.380128205128205, -1.3835164835164835, -1.3804945054945055, -1.3833333333333333, -1.3872710622710622, -1.3851648351648351, -1.3765567765567766, -1.3806776556776557, -1.3865384615384615, -1.3836996336996337, -1.3771978021978022];[0.875, 1.25, 0.8826923076923077, 0.8828754578754578, 0.8828754578754578, 0.8777472527472527, 0.8791208791208791, 0.8755494505494505, 0.8825091575091575, 0.8871794871794871, 0.8826923076923077, 0.8844322344322344, 0.8795787545787546, 0.8844322344322344, 0.8815018315018315, 0.8754578754578755, 0.8799450549450549, 0.8945970695970696, 0.8897435897435897, 0.8807692307692307, 0.8853479853479853, 0.8957875457875458]
[-1.75, -1.375, -1.377106227106227, -1.3754578754578755, -1.375915750915751, -1.376098901098901, -1.376098901098901, -1.376098901098901, -1.3795787545787546, -1.3786630036630036, -1.3766483516483516, -1.3773809523809524, -1.3797619047619047, -1.3767399267399267, -1.3825091575091575, -1.3751831501831502, -1.3828754578754578, -1.379029304029304, -1.3804945054945055, -1.3823260073260073, -1.3771978021978022, -1.3808608058608058];[0.875, 1.25, 0.8776556776556776, 0.8811355311355311, 0.8826923076923077, 0.8828754578754578, 0.8828754578754578, 0.8828754578754578, 0.8777472527472527, 0.8796703296703297, 0.8828754578754578, 0.8827838827838828, 0.8791208791208791, 0.8841575091575091, 0.8756410256410256, 0.8873626373626373, 0.8756410256410256, 0.8827838827838828, 0.8804945054945055, 0.878021978021978, 0.887087912087912, 0.8814102564102564]
[-1.75, -1.375, -1.375, -1.377106227106227, -1.3754578754578755, -1.3782967032967033, -1.3795787545787546, -1.3786630036630036, -1.375915750915751, -1.376098901098901, -1.376098901098901, -1.3762820512820513, -1.3752747252747253, -1.3771978021978022, -1.376098901098901, -1.3788461538461538, -1.3803113553113553, -1.3812271062271062, -1.381959706959707, -1.3804945054945055, -1.3771978021978022, -1.3795787545787546];[0.875, 1.25, 0.8779304029304029, 0.8776556776556776, 0.8811355311355311, 0.8782051282051282, 0.8766483516483516, 0.8782051282051282, 0.8826923076923077, 0.8828754578754578, 0.8828754578754578, 0.8828754578754578, 0.8854395604395604, 0.8827838827838828, 0.8863553113553113, 0.8823260073260073, 0.8819597069597069, 0.8807692307692307, 0.8796703296703297, 0.8826923076923077, 0.8881868131868131, 0.8847069597069597]
[-1.75, -1.375, -1.375, -1.375, -1.375915750915751, -1.3755494505494505, -1.377106227106227, -1.3755494505494505, -1.3755494505494505, -1.3771978021978022, -1.3754578754578755, -1.3756410256410256, -1.3782967032967033, -1.3784798534798535, -1.3795787545787546, -1.3795787545787546, -1.375, -1.375915750915751, -1.3766483516483516, -1.375, -1.375915750915751, -1.375915750915751];[0.875, 1.25, 0.8767399267399267, 0.8779304029304029, 0.8785714285714286, 0.8796703296703297, 0.8776556776556776, 0.8805860805860806, 0.8808608058608058, 0.8783882783882784, 0.8811355311355311, 0.8823260073260073, 0.8782051282051282, 0.8782967032967033, 0.8766483516483516, 0.8768315018315018, 0.8847985347985348, 0.8834249084249084, 0.8826007326007326, 0.8854395604395604, 0.8842490842490842, 0.8857142857142857]
[-1.75, -1.375, -1.375, -1.375, -1.375915750915751, -1.3755494505494505, -1.3765567765567766, -1.377106227106227, -1.3776556776556776, -1.378113553113553, -1.3772893772893773, -1.3755494505494505, -1.377014652014652, -1.3787545787545787, -1.3768315018315018, -1.3756410256410256, -1.3752747252747253, -1.3757326007326007, -1.3776556776556776, -1.377014652014652, -1.379945054945055, -1.375915750915751];[0.875, 1.25, 0.8767399267399267, 0.8779304029304029, 0.8785714285714286, 0.8796703296703297, 0.8782051282051282, 0.8776556776556776, 0.8769230769230769, 0.8764652014652015, 0.8779304029304029, 0.8808608058608058, 0.8789377289377289, 0.877014652014652, 0.8801282051282051, 0.8827838827838828, 0.8842490842490842, 0.8842490842490842, 0.8813186813186813, 0.8827838827838828, 0.8782051282051282, 0.8857142857142857]
[-1.75, -1.375, -1.375, -1.375, -1.377106227106227, -1.3757326007326007, -1.375915750915751, -1.3755494505494505, -1.3765567765567766, -1.3764652014652015, -1.3764652014652015, -1.375091575091575, -1.377930402930403, -1.3775641025641026, -1.379120879120879, -1.380952380952381, -1.376923076923077, -1.3793040293040293, -1.377930402930403, -1.3808608058608058, -1.3774725274725275, -1.379029304029304];[0.875, 1.25, 0.8767399267399267, 0.8779304029304029, 0.875, 0.8782967032967033, 0.8785714285714286, 0.8796703296703297, 0.8782051282051282, 0.8784798534798535, 0.879029304029304, 0.882051282051282, 0.8782051282051282, 0.8799450549450549, 0.8791208791208791, 0.8764652014652015, 0.8831501831501831, 0.8798534798534798, 0.8825091575091575, 0.8781135531135531, 0.8842490842490842, 0.8826923076923077]
