[500, 1500, 501.95360195360195, 507.0818070818071, 511.96581196581195, 513.919413919414, 514.1636141636142, 514.4078144078144, 517.3382173382173, 519.2918192918193, 519.7802197802198, 521.001221001221, 527.3504273504274, 538.3394383394383, 540.5372405372406, 541.7582417582418, 544.2002442002442, 546.6422466422466, 548.8400488400489, 550.0610500610501, 550.0610500610501, 551.5262515262515];[1, 1000, 127.61318681318681, 945.3538461538461, 53.69450549450549, 915.1032967032967, 286.91648351648354, 360.34725274725275, 455.49010989010986, 992.6813186813187, 166.64615384615385, 554.0483516483516, 16.125274725274725, 621.6241758241758, 422.55604395604394, 332.0483516483516, 203.72747252747251, 431.0945054945055, 888.756043956044, 619.1846153846154, 539.6549450549451, 238.85714285714286];[0, 1000, 787.7899877899878, 463.2478632478632, 590.2319902319903, 62.27106227106227, 86.6910866910867, 96.21489621489621, 15.628815628815628, 367.2771672771673, 208.05860805860806, 864.2246642246643, 655.6776556776557, 263.7362637362637, 177.53357753357753, 223.6874236874237, 376.8009768009768, 242.73504273504273, 44.44444444444444, 455.18925518925516, 281.80708180708183, 548.4737484737485]
[500, 1500, 501.95360195360195, 507.0818070818071, 508.54700854700855, 511.96581196581195, 513.919413919414, 514.1636141636142, 514.4078144078144, 517.3382173382173, 519.2918192918193, 519.7802197802198, 519.7802197802198, 520.5128205128206, 521.001221001221, 523.6874236874237, 525.3968253968254, 525.6410256410256, 527.3504273504274, 533.4554334554334, 534.4322344322344, 538.3394383394383];[1, 1000, 127.61318681318681, 945.3538461538461, 835.5736263736263, 53.69450549450549, 915.1032967032967, 286.91648351648354, 360.34725274725275, 455.49010989010986, 992.6813186813187, 166.64615384615385, 213.24175824175825, 36.61758241758242, 554.0483516483516, 195.189010989011, 894.854945054945, 268.37582417582416, 16.125274725274725, 512.3318681318681, 233.4901098901099, 621.6241758241758];[0, 1000, 787.7899877899878, 463.2478632478632, 977.7777777777778, 590.2319902319903, 62.27106227106227, 86.6910866910867, 96.21489621489621, 15.628815628815628, 367.2771672771673, 208.05860805860806, 204.8840048840049, 155.7997557997558, 864.2246642246643, 953.3577533577534, 976.3125763125763, 943.1013431013431, 655.6776556776557, 205.61660561660563, 313.0647130647131, 263.7362637362637]
[500, 1500, 501.95360195360195, 507.0818070818071, 507.0818070818071, 508.54700854700855, 508.54700854700855, 511.96581196581195, 513.919413919414, 514.1636141636142, 514.4078144078144, 515.6288156288156, 517.3382173382173, 519.2918192918193, 519.5360195360196, 519.7802197802198, 519.7802197802198, 519.7802197802198, 520.5128205128206, 521.001221001221, 523.6874236874237, 524.1758241758241];[1, 1000, 127.61318681318681, 191.28571428571428, 945.3538461538461, 430.1186813186813, 835.5736263736263, 53.69450549450549, 915.1032967032967, 286.91648351648354, 360.34725274725275, 465.0043956043956, 455.49010989010986, 992.6813186813187, 344.0021978021978, 131.02857142857144, 166.64615384615385, 213.24175824175825, 36.61758241758242, 554.0483516483516, 195.189010989011, 297.6505494505495];[0, 1000, 787.7899877899878, 969.9633699633699, 463.2478632478632, 946.031746031746, 977.7777777777778, 590.2319902319903, 62.27106227106227, 86.6910866910867, 96.21489621489621, 969.2307692307693, 15.628815628815628, 367.2771672771673, 975.0915750915751, 398.04639804639805, 208.05860805860806, 204.8840048840049, 155.7997557997558, 864.2246642246643, 953.3577533577534, 774.3589743589744]
[500, 1500, 500.2442002442003, 501.46520146520146, 501.95360195360195, 502.1978021978022, 507.0818070818071, 507.0818070818071, 507.0818070818071, 507.5702075702076, 508.54700854700855, 508.54700854700855, 511.96581196581195, 511.96581196581195, 513.6752136752136, 513.919413919414, 514.1636141636142, 514.4078144078144, 514.4078144078144, 515.6288156288156, 517.3382173382173, 518.0708180708181];[1, 1000, 499.6461538461538, 243.0043956043956, 127.61318681318681, 989.7538461538461, 191.28571428571428, 698.2263736263736, 945.3538461538461, 485.25274725274727, 430.1186813186813, 835.5736263736263, 53.69450549450549, 6.854945054945055, 122.49010989010989, 915.1032967032967, 286.91648351648354, 360.34725274725275, 360.34725274725275, 465.0043956043956, 455.49010989010986, 716.767032967033];[0, 1000, 514.2857142857143, 861.5384615384615, 787.7899877899878, 117.21611721611721, 969.9633699633699, 991.9413919413919, 463.2478632478632, 68.86446886446886, 946.031746031746, 977.7777777777778, 590.2319902319903, 652.7472527472528, 481.07448107448107, 62.27106227106227, 86.6910866910867, 96.21489621489621, 62.02686202686203, 969.2307692307693, 15.628815628815628, 8.058608058608058]
[500, 1500, 500.2442002442003, 500.2442002442003, 501.22100122100125, 501.46520146520146, 501.95360195360195, 502.1978021978022, 503.9072039072039, 505.12820512820514, 507.0818070818071, 507.0818070818071, 507.0818070818071, 507.5702075702076, 508.54700854700855, 508.54700854700855, 511.96581196581195, 511.96581196581195, 513.6752136752136, 513.919413919414, 514.1636141636142, 514.4078144078144];[1, 1000, 960.967032967033, 499.6461538461538, 252.27472527472528, 243.0043956043956, 127.61318681318681, 989.7538461538461, 535.7516483516483, 279.5978021978022, 191.28571428571428, 698.2263736263736, 945.3538461538461, 485.25274725274727, 430.1186813186813, 835.5736263736263, 53.69450549450549, 6.854945054945055, 122.49010989010989, 915.1032967032967, 286.91648351648354, 360.34725274725275];[0, 1000, 665.6898656898657, 514.2857142857143, 312.5763125763126, 861.5384615384615, 787.7899877899878, 117.21611721611721, 85.22588522588522, 961.4163614163614, 969.9633699633699, 991.9413919413919, 463.2478632478632, 68.86446886446886, 946.031746031746, 977.7777777777778, 590.2319902319903, 652.7472527472528, 481.07448107448107, 62.27106227106227, 86.6910866910867, 96.21489621489621]
[500, 1500, 500.0, 500.2442002442003, 500.2442002442003, 500.2442002442003, 500.2442002442003, 501.22100122100125, 501.46520146520146, 501.95360195360195, 502.1978021978022, 503.9072039072039, 505.12820512820514, 507.0818070818071, 507.0818070818071, 507.0818070818071, 507.5702075702076, 508.05860805860806, 508.54700854700855, 508.54700854700855, 509.7680097680098, 511.96581196581195];[1, 1000, 673.3428571428572, 960.967032967033, 960.967032967033, 970.2373626373626, 499.6461538461538, 252.27472527472528, 243.0043956043956, 127.61318681318681, 989.7538461538461, 535.7516483516483, 279.5978021978022, 191.28571428571428, 698.2263736263736, 945.3538461538461, 485.25274725274727, 53.69450549450549, 430.1186813186813, 835.5736263736263, 219.0967032967033, 53.69450549450549];[0, 1000, 509.4017094017094, 667.6434676434676, 665.6898656898657, 86.93528693528694, 514.2857142857143, 312.5763125763126, 861.5384615384615, 787.7899877899878, 117.21611721611721, 85.22588522588522, 961.4163614163614, 969.9633699633699, 991.9413919413919, 463.2478632478632, 68.86446886446886, 592.1855921855922, 946.031746031746, 977.7777777777778, 955.0671550671551, 590.2319902319903]
[500, 1500, 500.0, 500.2442002442003, 500.2442002442003, 500.2442002442003, 500.2442002442003, 500.2442002442003, 501.22100122100125, 501.46520146520146, 501.95360195360195, 502.1978021978022, 502.1978021978022, 503.9072039072039, 504.88400488400487, 505.12820512820514, 507.0818070818071, 507.0818070818071, 507.0818070818071, 507.0818070818071, 507.5702075702076, 507.8144078144078];[1, 1000, 673.3428571428572, 72.72307692307692, 960.967032967033, 960.967032967033, 970.2373626373626, 499.6461538461538, 252.27472527472528, 243.0043956043956, 127.61318681318681, 989.7538461538461, 441.5846153846154, 535.7516483516483, 488.1802197802198, 279.5978021978022, 191.28571428571428, 698.2263736263736, 972.6769230769231, 945.3538461538461, 485.25274725274727, 694.810989010989];[0, 1000, 509.4017094017094, 391.45299145299145, 667.6434676434676, 665.6898656898657, 86.93528693528694, 514.2857142857143, 312.5763125763126, 861.5384615384615, 787.7899877899878, 117.21611721611721, 328.20512820512823, 85.22588522588522, 978.5103785103785, 961.4163614163614, 969.9633699633699, 991.9413919413919, 485.7142857142857, 463.2478632478632, 68.86446886446886, 615.8730158730159]
[500, 1500, 500.0, 500.0, 500.0, 500.2442002442003, 500.2442002442003, 500.2442002442003, 500.2442002442003, 500.2442002442003, 501.22100122100125, 501.22100122100125, 501.22100122100125, 501.46520146520146, 501.95360195360195, 502.1978021978022, 502.1978021978022, 503.9072039072039, 504.88400488400487, 505.12820512820514, 507.0818070818071, 507.0818070818071];[1, 1000, 414.01758241758245, 673.3428571428572, 434.9978021978022, 72.72307692307692, 960.967032967033, 960.967032967033, 970.2373626373626, 499.6461538461538, 738.723076923077, 710.4241758241758, 252.27472527472528, 243.0043956043956, 127.61318681318681, 989.7538461538461, 441.5846153846154, 535.7516483516483, 488.1802197802198, 279.5978021978022, 191.28571428571428, 698.2263736263736];[0, 1000, 760.4395604395604, 509.4017094017094, 512.5763125763126, 391.45299145299145, 667.6434676434676, 665.6898656898657, 86.93528693528694, 514.2857142857143, 181.6849816849817, 201.7094017094017, 312.5763125763126, 861.5384615384615, 787.7899877899878, 117.21611721611721, 328.20512820512823, 85.22588522588522, 978.5103785103785, 961.4163614163614, 969.9633699633699, 991.9413919413919]
[500, 1500, 500.0, 500.0, 500.0, 500.2442002442003, 500.2442002442003, 500.2442002442003, 500.2442002442003, 500.2442002442003, 501.22100122100125, 501.22100122100125, 501.22100122100125, 501.22100122100125, 501.46520146520146, 501.95360195360195, 502.1978021978022, 502.1978021978022, 502.1978021978022, 502.1978021978022, 503.9072039072039, 504.88400488400487];[1, 1000, 414.01758241758245, 673.3428571428572, 434.9978021978022, 72.72307692307692, 960.967032967033, 960.967032967033, 970.2373626373626, 499.6461538461538, 738.723076923077, 710.4241758241758, 252.27472527472528, 490.37582417582416, 243.0043956043956, 127.61318681318681, 989.7538461538461, 863.3846153846154, 444.5120879120879, 441.5846153846154, 535.7516483516483, 488.1802197802198];[0, 1000, 760.4395604395604, 509.4017094017094, 512.5763125763126, 391.45299145299145, 667.6434676434676, 665.6898656898657, 86.93528693528694, 514.2857142857143, 181.6849816849817, 201.7094017094017, 312.5763125763126, 32.72283272283272, 861.5384615384615, 787.7899877899878, 117.21611721611721, 232.23443223443223, 328.20512820512823, 328.20512820512823, 85.22588522588522, 978.5103785103785]
[500, 1500, 500.0, 500.0, 500.0, 500.2442002442003, 500.2442002442003, 500.2442002442003, 500.2442002442003, 500.2442002442003, 501.22100122100125, 501.22100122100125, 501.22100122100125, 501.22100122100125, 501.22100122100125, 501.46520146520146, 501.46520146520146, 501.95360195360195, 501.95360195360195, 502.1978021978022, 502.1978021978022, 502.1978021978022];[1, 1000, 414.01758241758245, 673.3428571428572, 434.9978021978022, 72.72307692307692, 960.967032967033, 960.967032967033, 970.2373626373626, 499.6461538461538, 164.6945054945055, 738.723076923077, 710.4241758241758, 252.27472527472528, 490.37582417582416, 68.33186813186813, 243.0043956043956, 127.61318681318681, 390.5978021978022, 989.7538461538461, 863.3846153846154, 444.5120879120879];[0, 1000, 760.4395604395604, 509.4017094017094, 512.5763125763126, 391.45299145299145, 667.6434676434676, 665.6898656898657, 86.93528693528694, 514.2857142857143, 328.44932844932845, 181.6849816849817, 201.7094017094017, 312.5763125763126, 32.72283272283272, 534.7985347985348, 861.5384615384615, 787.7899877899878, 808.3028083028083, 117.21611721611721, 232.23443223443223, 328.20512820512823]
