32 ---- 6.1099454737575664e+26 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [0.7142857142857144, 2.1428571428571432], [1.4285714285714288, 4.2857142857142865], [1.3, 1.6]]
33 ---- 7.659505842627919e+27 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [0.7142857142857144, 2.1428571428571432], [4.2857142857142865, 7.142857142857142], [1.3, 1.6]]
34 ---- 3.63834750657181e+27 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [0.7142857142857144, 2.1428571428571432], [7.142857142857142, 10.0], [1.3, 1.6]]
35 ---- 3.048751799714984e+27 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [2.1428571428571432, 3.571428571428571], [-10.0, -7.142857142857142], [1.3, 1.6]]
36 ---- 2.3654160560354646e+27 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [2.1428571428571432, 3.571428571428571], [-7.142857142857142, -4.285714285714286], [1.3, 1.6]]
37 ---- 1.1375410921722653e+26 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [2.1428571428571432, 3.571428571428571], [-4.285714285714286, -1.4285714285714288], [1.3, 1.6]]
38 ---- 7.45279904326352e+23 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [2.1428571428571432, 3.571428571428571], [-1.4285714285714288, 1.4285714285714288], [1.3, 1.6]]
39 ---- 3.796204407729368e+26 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [2.1428571428571432, 3.571428571428571], [1.4285714285714288, 4.2857142857142865], [1.3, 1.6]]
40 ---- 1.9620957567943697e+27 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [2.1428571428571432, 3.571428571428571], [4.2857142857142865, 7.142857142857142], [1.3, 1.6]]
41 ---- 4.084692247233875e+27 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [2.1428571428571432, 3.571428571428571], [7.142857142857142, 10.0], [1.3, 1.6]]
42 ---- 3.592675978561269e+27 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [3.571428571428571, 5.0], [-10.0, -7.142857142857142], [1.3, 1.6]]
43 ---- 1.8029468541876702e+27 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [3.571428571428571, 5.0], [-7.142857142857142, -4.285714285714286], [1.3, 1.6]]
44 ---- 7.666932369258797e+25 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [3.571428571428571, 5.0], [-4.285714285714286, -1.4285714285714288], [1.3, 1.6]]
45 ---- 2.078379400357627e+24 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [3.571428571428571, 5.0], [-1.4285714285714288, 1.4285714285714288], [1.3, 1.6]]
46 ---- 2.4930149805025375e+26 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [3.571428571428571, 5.0], [1.4285714285714288, 4.2857142857142865], [1.3, 1.6]]
47 ---- 1.9636790390306678e+27 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [3.571428571428571, 5.0], [4.2857142857142865, 7.142857142857142], [1.3, 1.6]]
48 ---- 1.1720750010513963e+28 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [3.571428571428571, 5.0], [7.142857142857142, 10.0], [1.3, 1.6]]
49 ---- 9.026738752152397e+19 ---- [[2.0, 3.142857142857143], [-3.571428571428571, -2.142857142857143], [-5.0, -3.571428571428571], [-10.0, -7.142857142857142], [1.3, 1.6]]
50 ---- 5.493681901131836e+19 ---- [[2.0, 3.142857142857143], [-3.571428571428571, -2.142857142857143], [-5.0, -3.571428571428571], [-7.142857142857142, -4.285714285714286], [1.3, 1.6]]
51 ---- 1.265871029326939e+19 ---- [[2.0, 3.142857142857143], [-3.571428571428571, -2.142857142857143], [-5.0, -3.571428571428571], [-4.285714285714286, -1.4285714285714288], [1.3, 1.6]]
52 ---- 2.10612585776893e+16 ---- [[2.0, 3.142857142857143], [-3.571428571428571, -2.142857142857143], [-5.0, -3.571428571428571], [-1.4285714285714288, 1.4285714285714288], [1.3, 1.6]]
53 ---- 1.49489282759348e+18 ---- [[2.0, 3.142857142857143], [-3.571428571428571, -2.142857142857143], [-5.0, -3.571428571428571], [1.4285714285714288, 4.2857142857142865], [1.3, 1.6]]
54 ---- 1.640482373124791e+19 ---- [[2.0, 3.142857142857143], [-3.571428571428571, -2.142857142857143], [-5.0, -3.571428571428571], [4.2857142857142865, 7.142857142857142], [1.3, 1.6]]
