30 ---- 4.421686594639936e+24 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [1.4285714285714288, 4.2857142857142865], [1.4285714285714286, 2.142857142857143]]
31 ---- 2.835557627698536e+21 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [1.4285714285714288, 4.2857142857142865], [2.142857142857143, 2.857142857142857]]
32 ---- 7.148134412676523e+18 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [1.4285714285714288, 4.2857142857142865], [2.857142857142857, 3.5714285714285716]]
33 ---- 16837388803422.176 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [1.4285714285714288, 4.2857142857142865], [3.5714285714285716, 4.285714285714286]]
34 ---- 475666476587.00305 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [1.4285714285714288, 4.2857142857142865], [4.285714285714286, 5.0]]
35 ---- 4.751256987205515e+30 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [4.2857142857142865, 7.142857142857142], [0.0, 0.7142857142857143]]
36 ---- 1.6110203439083644e+28 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [4.2857142857142865, 7.142857142857142], [0.7142857142857143, 1.4285714285714286]]
37 ---- 2.618278693039236e+25 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [4.2857142857142865, 7.142857142857142], [1.4285714285714286, 2.142857142857143]]
38 ---- 1.3842071068822764e+23 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [4.2857142857142865, 7.142857142857142], [2.142857142857143, 2.857142857142857]]
39 ---- 6.687354023937136e+19 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [4.2857142857142865, 7.142857142857142], [2.857142857142857, 3.5714285714285716]]
40 ---- 3.0183810575452474e+17 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [4.2857142857142865, 7.142857142857142], [3.5714285714285716, 4.285714285714286]]
41 ---- 361471844637604.56 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [4.2857142857142865, 7.142857142857142], [4.285714285714286, 5.0]]
42 ---- 4.778313841473978e+31 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [7.142857142857142, 10.0], [0.0, 0.7142857142857143]]
43 ---- 2.9393597890275266e+28 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [7.142857142857142, 10.0], [0.7142857142857143, 1.4285714285714286]]
44 ---- 1.199412146607841e+26 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [7.142857142857142, 10.0], [1.4285714285714286, 2.142857142857143]]
45 ---- 5.860041216438258e+23 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [7.142857142857142, 10.0], [2.142857142857143, 2.857142857142857]]
46 ---- 3.093213586707584e+20 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [7.142857142857142, 10.0], [2.857142857142857, 3.5714285714285716]]
47 ---- 1.1190282267888111e+18 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [7.142857142857142, 10.0], [3.5714285714285716, 4.285714285714286]]
48 ---- 869497082981540.9 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-5.0, -3.571428571428571], [7.142857142857142, 10.0], [4.285714285714286, 5.0]]
49 ---- 4.450330714850256e+31 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-3.571428571428571, -2.142857142857143], [-10.0, -7.142857142857142], [0.0, 0.7142857142857143]]
50 ---- 4.621229418188637e+28 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-3.571428571428571, -2.142857142857143], [-10.0, -7.142857142857142], [0.7142857142857143, 1.4285714285714286]]
51 ---- 5.7083400331891555e+25 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-3.571428571428571, -2.142857142857143], [-10.0, -7.142857142857142], [1.4285714285714286, 2.142857142857143]]
52 ---- 1.2514688416147046e+23 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-3.571428571428571, -2.142857142857143], [-10.0, -7.142857142857142], [2.142857142857143, 2.857142857142857]]
53 ---- 1.060212757516586e+21 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-3.571428571428571, -2.142857142857143], [-10.0, -7.142857142857142], [2.857142857142857, 3.5714285714285716]]
54 ---- 2.751682230655806e+18 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-3.571428571428571, -2.142857142857143], [-10.0, -7.142857142857142], [3.5714285714285716, 4.285714285714286]]
55 ---- 1006527833758975.1 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-3.571428571428571, -2.142857142857143], [-10.0, -7.142857142857142], [4.285714285714286, 5.0]]
56 ---- 1.0651751465022122e+31 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-3.571428571428571, -2.142857142857143], [-7.142857142857142, -4.285714285714286], [0.0, 0.7142857142857143]]
