10 ---- 549.2159984160077 ---- [[0.0, 3.3333333333333335], [-10.0, -3.333333333333333], [3.333333333333334, 10.0], [-3.333333333333333, 3.333333333333334], [-10.0, -3.333333333333333]]
10 ---- 311.9188318319869 ---- [[0.0, 3.3333333333333335], [-10.0, -3.333333333333333], [3.333333333333334, 10.0], [-10.0, -3.333333333333333], [-3.333333333333333, 3.333333333333334]]
11 ---- 189.942801988293 ---- [[0.0, 3.3333333333333335], [-10.0, -3.333333333333333], [3.333333333333334, 10.0], [-3.333333333333333, 3.333333333333334], [-3.333333333333333, 3.333333333333334]]
11 ---- 221.66440236487347 ---- [[0.0, 3.3333333333333335], [-10.0, -3.333333333333333], [3.333333333333334, 10.0], [3.333333333333334, 10.0], [-10.0, -3.333333333333333]]
11 ---- 205.93169260182603 ---- [[0.0, 3.3333333333333335], [-10.0, -3.333333333333333], [3.333333333333334, 10.0], [3.333333333333334, 10.0], [-3.333333333333333, 3.333333333333334]]
12 ---- 361.98762054161466 ---- [[0.0, 3.3333333333333335], [-10.0, -3.333333333333333], [3.333333333333334, 10.0], [-3.333333333333333, 3.333333333333334], [3.333333333333334, 10.0]]
13 ---- 322.05903716244234 ---- [[0.0, 3.3333333333333335], [-10.0, -3.333333333333333], [3.333333333333334, 10.0], [3.333333333333334, 10.0], [3.333333333333334, 10.0]]
13 ---- 376.72622412690566 ---- [[0.0, 3.3333333333333335], [-10.0, -3.333333333333333], [3.333333333333334, 10.0], [-10.0, -3.333333333333333], [3.333333333333334, 10.0]]
14 ---- 141.70668204886397 ---- [[0.0, 3.3333333333333335], [-3.333333333333333, 3.333333333333334], [-10.0, -3.333333333333333], [-10.0, -3.333333333333333], [-3.333333333333333, 3.333333333333334]]
15 ---- 156.24471789477934 ---- [[0.0, 3.3333333333333335], [-3.333333333333333, 3.333333333333334], [-10.0, -3.333333333333333], [-3.333333333333333, 3.333333333333334], [-10.0, -3.333333333333333]]
14 ---- 39.63928398699147 ---- [[0.0, 3.3333333333333335], [-3.333333333333333, 3.333333333333334], [-10.0, -3.333333333333333], [-10.0, -3.333333333333333], [3.333333333333334, 10.0]]
15 ---- 37.596838230980836 ---- [[0.0, 3.3333333333333335], [-3.333333333333333, 3.333333333333334], [-10.0, -3.333333333333333], [-3.333333333333333, 3.333333333333334], [3.333333333333334, 10.0]]
