46 ---- 230.98502513456492 ---- [[2.0408163265306123, 4.081632653061225], [-1.0204081632653095, 5.102040816326527], [17.3469387755102, 23.469387755102037]]
47 ---- 785.8025252684381 ---- [[2.0408163265306123, 4.081632653061225], [-1.0204081632653095, 5.102040816326527], [29.59183673469387, 35.71428571428571]]
48 ---- 142.57032491758517 ---- [[2.0408163265306123, 4.081632653061225], [5.102040816326527, 11.224489795918362], [-7.142857142857146, -1.0204081632653095]]
49 ---- 73.24204481587763 ---- [[2.0408163265306123, 4.081632653061225], [5.102040816326527, 11.224489795918362], [-1.0204081632653095, 5.102040816326527]]
50 ---- 61.3154123061113 ---- [[2.0408163265306123, 4.081632653061225], [5.102040816326527, 11.224489795918362], [5.102040816326527, 11.224489795918362]]
50 ---- 71.64092449215954 ---- [[2.0408163265306123, 4.081632653061225], [5.102040816326527, 11.224489795918362], [11.224489795918362, 17.3469387755102]]
51 ---- 85.82447577353315 ---- [[2.0408163265306123, 4.081632653061225], [5.102040816326527, 11.224489795918362], [17.3469387755102, 23.469387755102037]]
52 ---- 165.49413142972074 ---- [[2.0408163265306123, 4.081632653061225], [5.102040816326527, 11.224489795918362], [23.469387755102037, 29.59183673469387]]
53 ---- 295.791482266256 ---- [[2.0408163265306123, 4.081632653061225], [5.102040816326527, 11.224489795918362], [29.59183673469387, 35.71428571428571]]
53 ---- 508.65510121195416 ---- [[2.0408163265306123, 4.081632653061225], [11.224489795918362, 17.3469387755102], [-7.142857142857146, -1.0204081632653095]]
54 ---- 92.83192025891171 ---- [[2.0408163265306123, 4.081632653061225], [11.224489795918362, 17.3469387755102], [11.224489795918362, 17.3469387755102]]
54 ---- 183.76316861146162 ---- [[2.0408163265306123, 4.081632653061225], [11.224489795918362, 17.3469387755102], [5.102040816326527, 11.224489795918362]]
54 ---- 344.9985963501348 ---- [[2.0408163265306123, 4.081632653061225], [11.224489795918362, 17.3469387755102], [-1.0204081632653095, 5.102040816326527]]
55 ---- 88.93463674518195 ---- [[2.0408163265306123, 4.081632653061225], [11.224489795918362, 17.3469387755102], [17.3469387755102, 23.469387755102037]]
55 ---- 99.62763455516708 ---- [[2.0408163265306123, 4.081632653061225], [11.224489795918362, 17.3469387755102], [23.469387755102037, 29.59183673469387]]
56 ---- 111.47327787369566 ---- [[2.0408163265306123, 4.081632653061225], [11.224489795918362, 17.3469387755102], [29.59183673469387, 35.71428571428571]]
57 ---- 1205.7825194264506 ---- [[2.0408163265306123, 4.081632653061225], [17.3469387755102, 23.469387755102037], [-7.142857142857146, -1.0204081632653095]]
58 ---- 1006.9027223860019 ---- [[2.0408163265306123, 4.081632653061225], [17.3469387755102, 23.469387755102037], [-1.0204081632653095, 5.102040816326527]]
59 ---- 839.860675365336 ---- [[2.0408163265306123, 4.081632653061225], [17.3469387755102, 23.469387755102037], [5.102040816326527, 11.224489795918362]]
59 ---- 575.8435103650049 ---- [[2.0408163265306123, 4.081632653061225], [17.3469387755102, 23.469387755102037], [11.224489795918362, 17.3469387755102]]
60 ---- 281.1335094064593 ---- [[2.0408163265306123, 4.081632653061225], [17.3469387755102, 23.469387755102037], [17.3469387755102, 23.469387755102037]]
61 ---- 113.32615717024618 ---- [[2.0408163265306123, 4.081632653061225], [17.3469387755102, 23.469387755102037], [23.469387755102037, 29.59183673469387]]
62 ---- 114.43886995126826 ---- [[2.0408163265306123, 4.081632653061225], [17.3469387755102, 23.469387755102037], [29.59183673469387, 35.71428571428571]]
62 ---- 2286.6520267974265 ---- [[2.0408163265306123, 4.081632653061225], [23.469387755102037, 29.59183673469387], [-7.142857142857146, -1.0204081632653095]]
63 ---- 2033.0188404409325 ---- [[2.0408163265306123, 4.081632653061225], [23.469387755102037, 29.59183673469387], [-1.0204081632653095, 5.102040816326527]]
64 ---- 1807.673312515653 ---- [[2.0408163265306123, 4.081632653061225], [23.469387755102037, 29.59183673469387], [5.102040816326527, 11.224489795918362]]
65 ---- 1128.8656008096495 ---- [[2.0408163265306123, 4.081632653061225], [23.469387755102037, 29.59183673469387], [17.3469387755102, 23.469387755102037]]
65 ---- 1469.1786321561437 ---- [[2.0408163265306123, 4.081632653061225], [23.469387755102037, 29.59183673469387], [11.224489795918362, 17.3469387755102]]
66 ---- 763.0236390168144 ---- [[2.0408163265306123, 4.081632653061225], [23.469387755102037, 29.59183673469387], [23.469387755102037, 29.59183673469387]]
67 ---- 3635.3776019078823 ---- [[2.0408163265306123, 4.081632653061225], [29.59183673469387, 35.71428571428571], [-7.142857142857146, -1.0204081632653095]]
68 ---- 391.7304382074862 ---- [[2.0408163265306123, 4.081632653061225], [23.469387755102037, 29.59183673469387], [29.59183673469387, 35.71428571428571]]
