 ----------------- 2022-08-02 15:31:44 ----------------- 165792.999774151 [[-1000.0, 0.0], [5.0, 10.0], [-1000.0, 0.0], [0.0, 1000.0], [2.0, 4.0]]
 ----------------- 2022-08-02 15:31:45 ----------------- 0.47312759379319785 [[-1000.0, 0.0], [5.0, 10.0], [0.0, 1000.0], [-1000.0, 0.0], [0.0, 2.0]]
 ----------------- 2022-08-02 15:31:46 ----------------- 1159561.2665834296 [[-1000.0, 0.0], [5.0, 10.0], [0.0, 1000.0], [-1000.0, 0.0], [2.0, 4.0]]
 ----------------- 2022-08-02 15:31:47 ----------------- 0.792794009493562 [[-1000.0, 0.0], [5.0, 10.0], [0.0, 1000.0], [0.0, 1000.0], [0.0, 2.0]]
 ----------------- 2022-08-02 15:31:49 ----------------- 14245967.69782611 [[-1000.0, 0.0], [5.0, 10.0], [0.0, 1000.0], [0.0, 1000.0], [2.0, 4.0]]
 ----------------- 2022-08-02 15:31:50 ----------------- 66.23301416768982 [[0.0, 1000.0], [0.0, 5.0], [-1000.0, 0.0], [-1000.0, 0.0], [0.0, 2.0]]
 ----------------- 2022-08-02 15:31:51 ----------------- 1987.2550809426787 [[0.0, 1000.0], [0.0, 5.0], [-1000.0, 0.0], [-1000.0, 0.0], [2.0, 4.0]]
 ----------------- 2022-08-02 15:31:52 ----------------- 12.931130974153374 [[0.0, 1000.0], [0.0, 5.0], [-1000.0, 0.0], [0.0, 1000.0], [0.0, 2.0]]
 ----------------- 2022-08-02 15:31:54 ----------------- 22.269890825880672 [[0.0, 1000.0], [0.0, 5.0], [-1000.0, 0.0], [0.0, 1000.0], [2.0, 4.0]]
 ----------------- 2022-08-02 15:31:55 ----------------- 5.687291317461579 [[0.0, 1000.0], [0.0, 5.0], [0.0, 1000.0], [-1000.0, 0.0], [0.0, 2.0]]
 ----------------- 2022-08-02 15:31:56 ----------------- 2178.80307820677 [[0.0, 1000.0], [0.0, 5.0], [0.0, 1000.0], [-1000.0, 0.0], [2.0, 4.0]]
 ----------------- 2022-08-02 15:31:57 ----------------- 58.38044703384611 [[0.0, 1000.0], [0.0, 5.0], [0.0, 1000.0], [0.0, 1000.0], [0.0, 2.0]]
 ----------------- 2022-08-02 15:31:59 ----------------- 223.40584962918373 [[0.0, 1000.0], [0.0, 5.0], [0.0, 1000.0], [0.0, 1000.0], [2.0, 4.0]]
 ----------------- 2022-08-02 15:32:00 ----------------- 3.148875759305333 [[0.0, 1000.0], [5.0, 10.0], [-1000.0, 0.0], [-1000.0, 0.0], [0.0, 2.0]]
