22 15:51:46;0;2.42;[[0, 1000], [0, 300], [0, 200], [0, 200]]
22 15:51:54;1;2.42;[[0, 1000], [0, 300], [0, 200], [0, 200]]
22 15:52:01;2;2.42;[[0, 1000], [0, 300], [0, 200], [0, 200]]
22 15:52:07;3;2.42;[[0, 1000], [0, 300], [0, 200], [0, 200]]
22 15:52:14;4;2.42;[[0, 1000], [0, 300], [0, 200], [0, 200]]
22 15:52:22;5;2.42;[[0, 1000], [0, 300], [0, 200], [0, 200]]
22 15:52:32;6;2.42;[[0, 1000], [0, 300], [0, 200], [0, 200]]
22 15:52:41;7;2.42;[[0, 1000], [0, 300], [0, 200], [0, 200]]
22 15:52:50;8;2.42;[[0, 1000], [0, 300], [0, 200], [0, 200]]
22 15:52:59;9;2.42;[[0, 1000], [0, 300], [0, 200], [0, 200]]
22 15:53:08;10;2.42;[[0, 1000], [0, 300], [0, 200], [0, 200]]
22 15:53:18;11;2.42;[[0, 1000], [0, 300], [0, 200], [0, 200]]
22 15:53:28;12;2.42;[[0, 1000], [0, 300], [0, 200], [0, 200]]
22 15:53:37;13;2.42;[[0, 1000], [0, 300], [0, 200], [0, 200]]
22 15:53:47;14;2.42;[[0, 1000], [0, 300], [0, 200], [0, 200]]
22 15:53:56;15;2.42;[[0, 1000], [0, 300], [0, 200], [0, 200]]
22 15:54:05;16;2.42;[[0, 1000], [0, 300], [0, 200], [0, 200]]
22 15:54:14;17;2.42;[[0, 1000], [0, 300], [0, 200], [0, 200]]
22 15:54:24;18;2.42;[[0, 1000], [0, 300], [0, 200], [0, 200]]
22 15:54:33;19;2.42;[[0, 1000], [0, 300], [0, 200], [0, 200]]
22 15:54:42;20;2.42;[[0, 1000], [0, 300], [0, 200], [0, 200]]
22 15:54:52;21;2.42;[[0, 1000], [0, 300], [0, 200], [0, 200]]
22 15:55:01;22;2.42;[[0, 1000], [0, 300], [0, 200], [0, 200]]
22 15:55:11;23;2.42;[[0, 1000], [0, 300], [0, 200], [0, 200]]
22 15:55:20;24;2.42;[[0, 1000], [0, 300], [0, 200], [0, 200]]
22 15:55:29;25;2.42;[[0, 1000], [0, 300], [0, 200], [0, 200]]
22 15:55:39;26;2.41;[[0, 1000], [0, 300], [0, 200], [0, 200]]
22 15:55:48;27;2.41;[[0, 1000], [0, 300], [0, 200], [0, 200]]
22 15:55:57;28;2.41;[[0, 1000], [0, 300], [0, 200], [0, 200]]
22 15:56:06;29;2.41;[[0, 1000], [0, 300], [0, 200], [0, 200]]
22 15:56:16;30;2.41;[[0, 1000], [0, 300], [0, 200], [0, 200]]
22 15:56:25;31;2.41;[[0, 1000], [0, 300], [0, 200], [0, 200]]
22 15:56:34;32;2.41;[[0, 1000], [0, 300], [0, 200], [0, 200]]
22 15:56:44;33;2.41;[[0, 1000], [0, 300], [0, 200], [0, 200]]
22 15:56:53;34;2.41;[[0, 1000], [0, 300], [0, 200], [0, 200]]
22 15:57:02;35;2.41;[[0, 1000], [0, 300], [0, 200], [0, 200]]
22 15:57:12;36;2.41;[[0, 1000], [0, 300], [0, 200], [0, 200]]
22 15:57:21;37;2.41;[[0, 1000], [0, 300], [0, 200], [0, 200]]
22 15:57:30;38;2.41;[[0, 1000], [0, 300], [0, 200], [0, 200]]
22 15:57:39;39;2.41;[[0, 1000], [0, 300], [0, 200], [0, 200]]
22 15:57:49;40;2.41;[[0, 1000], [0, 300], [0, 200], [0, 200]]
22 15:57:58;41;2.41;[[0, 1000], [0, 300], [0, 200], [0, 200]]
22 15:58:07;42;2.41;[[0, 1000], [0, 300], [0, 200], [0, 200]]
22 15:58:17;43;2.41;[[0, 1000], [0, 300], [0, 200], [0, 200]]
22 15:58:27;44;2.41;[[0, 1000], [0, 300], [0, 200], [0, 200]]
