0.51243;['[', '[', '-', '1', '0', '.', '0', ',', ' ', '0', '.', '0', ']', ',', ' ', '[', '0', '.', '0', ',', ' ', '1', '0', '.', '0', ']', ',', ' ', '[', '-', '1', '0', '.', '0', ',', ' ', '0', '.', '0', ']', ',', ' ', '[', '0', '.', '0', ',', ' ', '1', '0', '.', '0', ']', ',', ' ', '[', '0', '.', '0', ',', ' ', '1', '0', '.', '0', ']', ']']
0.50326;['[', '[', '-', '1', '0', '.', '0', ',', ' ', '0', '.', '0', ']', ',', ' ', '[', '0', '.', '0', ',', ' ', '1', '0', '.', '0', ']', ',', ' ', '[', '-', '1', '0', '.', '0', ',', ' ', '0', '.', '0', ']', ',', ' ', '[', '-', '1', '0', '.', '0', ',', ' ', '0', '.', '0', ']', ',', ' ', '[', '-', '1', '0', '.', '0', ',', ' ', '0', '.', '0', ']', ']']
0.4963;['[', '[', '-', '1', '0', '.', '0', ',', ' ', '0', '.', '0', ']', ',', ' ', '[', '0', '.', '0', ',', ' ', '1', '0', '.', '0', ']', ',', ' ', '[', '-', '1', '0', '.', '0', ',', ' ', '0', '.', '0', ']', ',', ' ', '[', '-', '1', '0', '.', '0', ',', ' ', '0', '.', '0', ']', ',', ' ', '[', '-', '1', '0', '.', '0', ',', ' ', '0', '.', '0', ']', ']']
0.49074;['[', '[', '0', '.', '0', ',', ' ', '1', '0', '.', '0', ']', ',', ' ', '[', '0', '.', '0', ',', ' ', '1', '0', '.', '0', ']', ',', ' ', '[', '0', '.', '0', ',', ' ', '1', '0', '.', '0', ']', ',', ' ', '[', '0', '.', '0', ',', ' ', '1', '0', '.', '0', ']', ',', ' ', '[', '-', '1', '0', '.', '0', ',', ' ', '0', '.', '0', ']', ']']
0.47477;['[', '[', '0', '.', '0', ',', ' ', '1', '0', '.', '0', ']', ',', ' ', '[', '0', '.', '0', ',', ' ', '1', '0', '.', '0', ']', ',', ' ', '[', '-', '1', '0', '.', '0', ',', ' ', '0', '.', '0', ']', ',', ' ', '[', '0', '.', '0', ',', ' ', '1', '0', '.', '0', ']', ',', ' ', '[', '0', '.', '0', ',', ' ', '1', '0', '.', '0', ']', ']']
0.47099;['[', '[', '0', '.', '0', ',', ' ', '1', '0', '.', '0', ']', ',', ' ', '[', '0', '.', '0', ',', ' ', '1', '0', '.', '0', ']', ',', ' ', '[', '-', '1', '0', '.', '0', ',', ' ', '0', '.', '0', ']', ',', ' ', '[', '0', '.', '0', ',', ' ', '1', '0', '.', '0', ']', ',', ' ', '[', '0', '.', '0', ',', ' ', '1', '0', '.', '0', ']', ']']
0.47015;['[', '[', '0', '.', '0', ',', ' ', '1', '0', '.', '0', ']', ',', ' ', '[', '0', '.', '0', ',', ' ', '1', '0', '.', '0', ']', ',', ' ', '[', '0', '.', '0', ',', ' ', '1', '0', '.', '0', ']', ',', ' ', '[', '0', '.', '0', ',', ' ', '1', '0', '.', '0', ']', ',', ' ', '[', '-', '1', '0', '.', '0', ',', ' ', '0', '.', '0', ']', ']']
0.46026;['[', '[', '-', '1', '0', '.', '0', ',', ' ', '0', '.', '0', ']', ',', ' ', '[', '0', '.', '0', ',', ' ', '1', '0', '.', '0', ']', ',', ' ', '[', '-', '1', '0', '.', '0', ',', ' ', '0', '.', '0', ']', ',', ' ', '[', '-', '1', '0', '.', '0', ',', ' ', '0', '.', '0', ']', ',', ' ', '[', '-', '1', '0', '.', '0', ',', ' ', '0', '.', '0', ']', ']']
0.45892;['[', '[', '-', '1', '0', '.', '0', ',', ' ', '0', '.', '0', ']', ',', ' ', '[', '0', '.', '0', ',', ' ', '1', '0', '.', '0', ']', ',', ' ', '[', '-', '1', '0', '.', '0', ',', ' ', '0', '.', '0', ']', ',', ' ', '[', '-', '1', '0', '.', '0', ',', ' ', '0', '.', '0', ']', ',', ' ', '[', '-', '1', '0', '.', '0', ',', ' ', '0', '.', '0', ']', ']']
0.42972;['[', '[', '0', '.', '0', ',', ' ', '1', '0', '.', '0', ']', ',', ' ', '[', '0', '.', '0', ',', ' ', '1', '0', '.', '0', ']', ',', ' ', '[', '0', '.', '0', ',', ' ', '1', '0', '.', '0', ']', ',', ' ', '[', '0', '.', '0', ',', ' ', '1', '0', '.', '0', ']', ',', ' ', '[', '-', '1', '0', '.', '0', ',', ' ', '0', '.', '0', ']', ']']
